"Date_evenement";"Femmes_0_64ans_Deces2020";"Femmes_65_74ans_Deces2020";"Femmes_75_84ans_Deces2020";"Femmes_85ans_plus_Deces2020";"Hommes_0_64ans_Deces2020";"Hommes_65_74ans_Deces2020";"Hommes_75_84ans_Deces2020";"Hommes_85ans_plus_Deces2020";"Femmes_0_64ans_Deces2019";"Femmes_65_74ans_Deces2019";"Femmes_75_84ans_Deces2019";"Femmes_85ans_plus_Deces2019";"Hommes_0_64ans_Deces2019";"Hommes_65_74ans_Deces2019";"Hommes_75_84ans_Deces2019";"Hommes_85ans_plus_Deces2019";"Femmes_0_64ans_Deces2018";"Femmes_65_74ans_Deces2018";"Femmes_75_84ans_Deces2018";"Femmes_85ans_plus_Deces2018";"Hommes_0_64ans_Deces2018";"Hommes_65_74ans_Deces2018";"Hommes_75_84ans_Deces2018";"Hommes_85ans_plus_Deces2018";"Zone";"LibelleZone"
"01/03/2020";"82";"87";"180";"536";"179";"157";"199";"336";"98";"105";"158";"626";"180";"158";"196";"351";"104";"106";"204";"658";"186";"204";"256";"418";"FE";"France entière"
"02/03/2020";"155";"172";"330";"1096";"357";"312";"433";"671";"185";"206";"313";"1231";"353";"338";"444";"712";"209";"226";"405";"1365";"401";"409";"513";"799";"FE";"France entière"
"03/03/2020";"260";"271";"480";"1579";"549";"491";"648";"998";"278";"292";"479";"1781";"521";"509";"646";"1024";"307";"305";"613";"2086";"580";"590";"761";"1213";"FE";"France entière"
"04/03/2020";"342";"356";"638";"2157";"724";"649";"871";"1317";"375";"390";"653";"2398";"689";"684";"854";"1367";"429";"393";"798";"2802";"767";"775";"989";"1592";"FE";"France entière"
"05/03/2020";"433";"454";"776";"2686";"898";"818";"1101";"1644";"464";"481";"836";"2968";"884";"868";"1063";"1714";"511";"493";"1013";"3529";"971";"974";"1262";"1993";"FE";"France entière"
"06/03/2020";"522";"549";"961";"3210";"1064";"999";"1321";"1996";"558";"584";"1017";"3533";"1047";"1068";"1283";"2058";"617";"584";"1211";"4212";"1163";"1171";"1537";"2409";"FE";"France entière"
"07/03/2020";"610";"629";"1119";"3723";"1226";"1151";"1528";"2299";"671";"679";"1166";"4142";"1211";"1237";"1500";"2401";"706";"689";"1398";"4897";"1336";"1374";"1781";"2777";"FE";"France entière"
"08/03/2020";"690";"721";"1276";"4240";"1377";"1323";"1735";"2602";"763";"770";"1337";"4671";"1393";"1426";"1720";"2726";"804";"770";"1594";"5601";"1516";"1569";"2018";"3192";"FE";"France entière"
"09/03/2020";"787";"837";"1435";"4755";"1556";"1515";"1932";"2940";"854";"877";"1494";"5218";"1548";"1590";"1923";"3075";"906";"881";"1772";"6265";"1696";"1745";"2253";"3594";"FE";"France entière"
"10/03/2020";"868";"923";"1579";"5348";"1732";"1705";"2142";"3246";"935";"965";"1628";"5755";"1683";"1771";"2120";"3389";"1012";"974";"1972";"6949";"1893";"1931";"2498";"3969";"FE";"France entière"
"11/03/2020";"972";"1014";"1747";"5941";"1881";"1862";"2359";"3619";"1026";"1056";"1782";"6340";"1876";"1942";"2294";"3696";"1110";"1068";"2161";"7610";"2072";"2088";"2700";"4331";"FE";"France entière"
"12/03/2020";"1068";"1105";"1927";"6472";"2034";"2049";"2549";"3935";"1131";"1150";"1950";"6856";"2028";"2113";"2492";"3998";"1200";"1180";"2356";"8296";"2265";"2264";"2917";"4709";"FE";"France entière"
"13/03/2020";"1154";"1200";"2081";"7006";"2201";"2205";"2737";"4267";"1208";"1246";"2127";"7380";"2178";"2286";"2679";"4305";"1300";"1283";"2516";"8934";"2455";"2441";"3143";"5095";"FE";"France entière"
"14/03/2020";"1238";"1303";"2236";"7529";"2345";"2369";"2940";"4580";"1303";"1349";"2260";"7912";"2339";"2472";"2875";"4617";"1390";"1378";"2702";"9572";"2641";"2614";"3372";"5425";"FE";"France entière"
"15/03/2020";"1321";"1395";"2383";"8046";"2494";"2549";"3158";"4962";"1402";"1461";"2420";"8447";"2472";"2640";"3088";"4942";"1468";"1468";"2867";"10188";"2826";"2777";"3604";"5794";"FE";"France entière"
"16/03/2020";"1412";"1486";"2591";"8604";"2661";"2749";"3374";"5331";"1494";"1550";"2572";"9001";"2638";"2791";"3295";"5251";"1560";"1555";"3036";"10790";"3013";"2968";"3842";"6135";"FE";"France entière"
"17/03/2020";"1496";"1598";"2772";"9224";"2820";"2949";"3588";"5691";"1584";"1631";"2729";"9537";"2785";"2935";"3489";"5537";"1649";"1627";"3224";"11423";"3161";"3139";"4049";"6467";"FE";"France entière"
"18/03/2020";"1587";"1696";"2961";"9785";"2978";"3124";"3845";"6060";"1669";"1738";"2897";"10077";"2956";"3130";"3700";"5817";"1729";"1711";"3378";"12033";"3320";"3301";"4248";"6810";"FE";"France entière"
"19/03/2020";"1693";"1838";"3157";"10395";"3141";"3308";"4089";"6420";"1768";"1835";"3063";"10608";"3108";"3281";"3900";"6105";"1811";"1792";"3550";"12591";"3499";"3479";"4460";"7171";"FE";"France entière"
"20/03/2020";"1774";"1932";"3364";"10981";"3305";"3511";"4345";"6763";"1857";"1934";"3211";"11129";"3287";"3433";"4103";"6375";"1886";"1877";"3718";"13167";"3672";"3660";"4663";"7501";"FE";"France entière"
"21/03/2020";"1865";"2035";"3528";"11532";"3450";"3715";"4576";"7088";"1932";"2014";"3366";"11599";"3476";"3592";"4337";"6714";"1966";"1991";"3881";"13747";"3848";"3833";"4887";"7893";"FE";"France entière"
"22/03/2020";"1953";"2129";"3687";"12101";"3603";"3899";"4823";"7460";"2022";"2123";"3502";"12110";"3639";"3760";"4522";"7040";"2060";"2082";"4064";"14334";"4021";"4017";"5132";"8228";"FE";"France entière"
"23/03/2020";"2052";"2248";"3871";"12687";"3781";"4106";"5094";"7835";"2106";"2214";"3659";"12624";"3800";"3919";"4738";"7356";"2154";"2180";"4229";"14872";"4189";"4208";"5339";"8593";"FE";"France entière"
"24/03/2020";"2135";"2358";"4061";"13308";"3939";"4302";"5346";"8235";"2198";"2294";"3812";"13127";"3955";"4063";"4935";"7660";"2239";"2273";"4399";"15463";"4379";"4378";"5597";"8921";"FE";"France entière"
"25/03/2020";"2235";"2460";"4246";"13908";"4116";"4512";"5659";"8687";"2272";"2381";"3977";"13620";"4130";"4228";"5138";"7963";"2328";"2359";"4560";"16047";"4540";"4551";"5809";"9272";"FE";"France entière"
"26/03/2020";"2324";"2572";"4464";"14523";"4280";"4723";"5972";"9136";"2350";"2473";"4140";"14125";"4288";"4366";"5331";"8261";"2409";"2459";"4726";"16627";"4722";"4747";"6004";"9625";"FE";"France entière"
"27/03/2020";"2418";"2682";"4685";"15153";"4470";"4933";"6260";"9573";"2438";"2560";"4297";"14623";"4453";"4519";"5557";"8573";"2505";"2543";"4926";"17204";"4898";"4905";"6240";"9957";"FE";"France entière"
"28/03/2020";"2505";"2805";"4879";"15828";"4634";"5158";"6578";"9999";"2520";"2642";"4457";"15120";"4622";"4661";"5794";"8894";"2589";"2628";"5093";"17790";"5074";"5089";"6447";"10295";"FE";"France entière"
"29/03/2020";"2594";"2904";"5069";"16479";"4789";"5333";"6896";"10434";"2600";"2734";"4605";"15593";"4806";"4836";"5994";"9205";"2687";"2722";"5260";"18373";"5233";"5266";"6667";"10624";"FE";"France entière"
