[Nom]
La Réunion
55.484390,-20.896343,0.000000

[Préfecture]
Saint-Denis
55.446625,-20.880627,0.000000

[Limites longitude, latitude]
55.451717,-20.870907,0.000000 55.469570,-20.882774,0.000000 55.492229,-20.884378,0.000000 55.504932,-20.880209,0.000000 55.537548,-20.891436,0.000000 55.550938,-20.894964,0.000000 55.558491,-20.890154,0.000000 55.572224,-20.892399,0.000000 55.585270,-20.897852,0.000000 55.593166,-20.895605,0.000000 55.619259,-20.908754,0.000000 55.635395,-20.911642,0.000000 55.655994,-20.919018,0.000000 55.670414,-20.926714,0.000000 55.688610,-20.944992,0.000000 55.698910,-20.962626,0.000000 55.703030,-20.994682,0.000000 55.719166,-21.026411,0.000000 55.727406,-21.044678,0.000000 55.734959,-21.059095,0.000000 55.737705,-21.070309,0.000000 55.754528,-21.086645,0.000000 55.764141,-21.100100,0.000000 55.827312,-21.144295,0.000000 55.836239,-21.160625,0.000000 55.837612,-21.183035,0.000000 55.826626,-21.185917,0.000000 55.826626,-21.203522,0.000000 55.810146,-21.227526,0.000000 55.806026,-21.250887,0.000000 55.803623,-21.277443,0.000000 55.805340,-21.309750,0.000000 55.810490,-21.328939,0.000000 55.780277,-21.362516,0.000000 55.755901,-21.363794,0.000000 55.730839,-21.370508,0.000000 55.699940,-21.377222,0.000000 55.683804,-21.374985,0.000000 55.670414,-21.383617,0.000000 55.662518,-21.381699,0.000000 55.646381,-21.389372,0.000000 55.635738,-21.383297,0.000000 55.610332,-21.387133,0.000000 55.602093,-21.383297,0.000000 55.585957,-21.373068,0.000000 55.571537,-21.375944,0.000000 55.562954,-21.371147,0.000000 55.551281,-21.374346,0.000000 55.535488,-21.363155,0.000000 55.527592,-21.363476,0.000000 55.504246,-21.351324,0.000000 55.483990,-21.352283,0.000000 55.479183,-21.347168,0.000000 55.457211,-21.340452,0.000000 55.453091,-21.330858,0.000000 55.432491,-21.326382,0.000000 55.410175,-21.313269,0.000000 55.391293,-21.292477,0.000000 55.361080,-21.284479,0.000000 55.335674,-21.278082,0.000000 55.330868,-21.266884,0.000000 55.330868,-21.259205,0.000000 55.319538,-21.252485,0.000000 55.311642,-21.244486,0.000000 55.293102,-21.229767,0.000000 55.279713,-21.203842,0.000000 55.282459,-21.167349,0.000000 55.273190,-21.149738,0.000000 55.270786,-21.131166,0.000000 55.254650,-21.117395,0.000000 55.238857,-21.102982,0.000000 55.217915,-21.080240,0.000000 55.219631,-21.055891,0.000000 55.223408,-21.052046,0.000000 55.218258,-21.047880,0.000000 55.213795,-21.036985,0.000000 55.235081,-21.017118,0.000000 55.247784,-21.019041,0.000000 55.277309,-20.999170,0.000000 55.283146,-20.977053,0.000000 55.276623,-20.956856,0.000000 55.283833,-20.926073,0.000000 55.288296,-20.922226,0.000000 55.306149,-20.927034,0.000000 55.329494,-20.927034,0.000000 55.345974,-20.918056,0.000000 55.351467,-20.910681,0.000000 55.368977,-20.898170,0.000000 55.381680,-20.890795,0.000000 55.394039,-20.879568,0.000000 55.411205,-20.877001,0.000000 55.428715,-20.873472,0.000000 55.440044,-20.876360,0.000000 55.451717,-20.870907,0.000000

[Limites XY]
16.212323 -24.016168
16.230059 -24.031617
16.254086 -24.035841
16.268130 -24.032415
16.301709 -24.048706
16.315617 -24.054160
16.324234 -24.049459
16.338654 -24.053485
16.351976 -24.061109
16.360670 -24.059378
16.387056 -24.077200
16.403971 -24.082225
16.425142 -24.092865
16.439672 -24.103214
16.457020 -24.126079
16.466000 -24.147363
16.466710 -24.184488
16.480285 -24.222534
16.486973 -24.244326
16.493370 -24.261640
16.495003 -24.274770
16.511071 -24.295286
16.519771 -24.311726
16.582058 -24.369184
16.589675 -24.388851
16.588512 -24.414652
16.576449 -24.416750
16.574384 -24.436900
16.553984 -24.462570
16.546847 -24.488855
16.541165 -24.518983
16.539195 -24.556142
16.542425 -24.578667
16.506268 -24.613772
16.480144 -24.612563
16.452654 -24.617502
16.418951 -24.621807
16.402026 -24.617488
16.386754 -24.625902
16.378569 -24.622848
16.360488 -24.629868
16.349864 -24.621763
16.322364 -24.623391
16.314038 -24.618112
16.298047 -24.604667
16.282359 -24.606396
16.273778 -24.599983
16.260979 -24.602380
16.245461 -24.587882
16.237018 -24.587397
16.213567 -24.570993
16.191891 -24.569912
16.187364 -24.563550
16.164746 -24.553518
16.161463 -24.542111
16.140045 -24.534792
16.117791 -24.517424
16.100065 -24.491652
16.068810 -24.479301
16.042490 -24.469298
16.038646 -24.455995
16.039518 -24.447221
16.028217 -24.438345
16.020716 -24.428372
16.002640 -24.409600
15.991311 -24.378573
15.998352 -24.337173
15.990461 -24.316080
15.989989 -24.294611
15.974341 -24.277188
15.959127 -24.259072
15.939353 -24.230907
15.943902 -24.203273
15.948358 -24.199275
15.943333 -24.193979
15.939790 -24.181069
15.964703 -24.160591
15.978034 -24.164112
16.011745 -24.144490
16.020445 -24.119828
16.015741 -24.096071
16.026870 -24.061648
16.032062 -24.057718
16.050581 -24.065073
16.075500 -24.067511
16.094098 -24.058973
16.100788 -24.051119
16.120886 -24.038651
16.135278 -24.031552
16.149737 -24.020013
16.168360 -24.018879
16.187461 -24.016682
16.199239 -24.021175
16.212323 -24.016168
