Country,Life expectancy at birth (years),Life expectancy at age 60 (years),Healthy life expectancy (HALE) at birth (years),Healthy life expectancy (HALE) at age 60 (years)
Afghanistan,62.7,16.3,53.0,11.3
Albania,76.4,20.8,68.1,16.3
Algeria,76.4,21.9,65.5,15.8
Angola,62.6,17.3,55.8,13.6
Antigua and Barbuda,75.0,19.7,67.0,15.6
Argentina,76.9,21.8,68.4,17.3
Armenia,74.8,19.6,66.3,15.1
Australia,82.9,25.6,73.0,20.4
Austria,81.9,24.4,72.4,19.3
Azerbaijan,73.1,18.9,64.9,14.6
Bahamas,75.7,22.6,66.8,17.7
Bahrain,79.1,21.7,68.1,16.0
Bangladesh,72.7,19.6,63.3,14.7
Barbados,75.6,19.8,67.0,15.6
Belarus,74.2,19.6,65.5,15.1
Belgium,81.2,24.1,71.6,18.8
Belize,70.5,17.1,62.5,13.4
Benin,61.1,17.2,53.5,13.3
Bhutan,70.6,20.7,60.7,14.7
Bolivia (Plurinational State of),71.5,21.4,63.0,16.4
Bosnia and Herzegovina,77.3,20.7,67.2,15.4
Botswana,66.1,17.4,57.5,13.1
Brazil,75.1,21.7,66.0,16.7
Brunei Darussalam,76.4,20.4,67.9,15.8
Bulgaria,74.8,19.8,66.4,15.1
Burkina Faso,60.3,15.5,52.9,11.7
Burundi,60.1,16.6,52.6,12.3
Cabo Verde,73.2,18.6,64.5,14.5
Cambodia,69.4,17.4,60.8,12.8
Cameroon,58.1,16.5,51.1,12.5
Canada,82.8,25.7,73.2,20.5
Central African Republic,53.0,16.0,44.9,11.2
Chad,54.3,15.9,47.2,11.6
Chile,79.5,23.4,69.7,18.0
China,76.4,19.9,68.7,15.8
Colombia,75.1,21.8,67.1,17.1
Comoros,63.9,16.3,56.6,12.6
Congo,64.3,17.6,56.7,13.5
Costa Rica,79.6,24.1,70.9,19.0
Côte d'Ivoire,54.6,14.3,48.3,10.8
Croatia,78.3,21.5,69.0,16.3
Cuba,79.0,22.7,69.9,17.7
Cyprus,80.7,22.8,73.3,18.8
Czechia,79.2,22.1,69.3,16.6
Democratic People's Republic of Korea,71.9,17.8,64.6,14.3
Democratic Republic of the Congo,60.5,16.9,52.5,12.8
Denmark,81.2,23.8,71.8,18.9
Djibouti,63.8,17.6,56.6,13.7
Dominican Republic,73.5,22.0,65.2,17.2
Ecuador,76.5,22.8,67.9,17.8
Egypt,70.5,16.9,61.1,12.0
El Salvador,73.7,21.9,65.5,16.9
Equatorial Guinea,59.5,16.8,53.8,13.6
Eritrea,65.0,16.4,57.4,13.2
Estonia,77.8,22.2,68.2,16.9
Eswatini,57.7,16.0,50.2,11.5
Ethiopia,65.5,18.1,57.5,13.5
