Insee - Statistiques locales; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;
Référentiel géographique : France par région; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;
Code;Libellé;Répartition des ménages selon leur composition 2016 - Ménages dont la famille princ. est un couple avec enfant;Répartition des ménages selon leur composition 2016 - Ménages dont la famille princ. est un couple sans enfant;Répartition des ménages selon leur composition 2016 - Ménages dont la famille princ. est une famille monoparentale;Répartition des ménages selon leur composition 2016 - Ménages d'une personne;Répartition des ménages selon leur composition 2016 - Autres ménages sans famille;Produit intérieur brut par habitant 2015;Produit intérieur brut 2015;Estimations de population 2019;Population de 15 ans ou + selon la CSP 2016;Population de 15 ans ou + selon la CSP 2016;Population de 15 ans ou + selon la CSP 2016;Population de 15 ans ou + selon la CSP 2016;Population de 15 ans ou + selon la CSP 2016;Population de 15 ans ou + selon la CSP 2016;Population de 15 ans ou + selon la CSP 2016;Population de 15 ans ou + selon la CSP 2016;Population de 15 ans ou + selon la CSP 2016;Estimations de population : part des 0 à 24 ans 2019;Estimations de population : part des 25 à 59 ans 2019;Estimations de population : part des 60 ans ou plus 2019;Estimations de population : part des 75 ans ou plus 2019;Taux de natalité 2018;Taux brut de mortalité 2018;Taux de mortalité standardisé des 0 à 64 ans 2018;Taux de mortalité standardisé des 65 ans ou + 2018;Taux de mortalité infantile 2015-2017;Taille moyenne des ménages 2016;Nb de ménages 2016
1;Guadeloupe;35956;28299;41315;60482;5776;21201;8417;382704;317549;2980;16394;15112;37690;60380;33783;71021;80189;29.8;44;26.2;8.3;11;8.3;2.1;36.2;8.2;2.3;171762
2;Martinique;32290;28042;40546;60643;5487;23900;9069;364354;311466;2293;12906;15882;38766;59007;35773;77096;69743;26.9;44.2;28.9;10;9.7;8.8;2;33.2;9;2.2;167004
3;Guyane;23551;9757;20873;17948;5683;15853;4175;296711;179878;1393;7130;9297;19416;27756;17723;12674;84489;48.1;43;8.8;1.8;26.4;3;2;36.4;9.9;3.4;77802
4;La Réunion;102202;55758;68606;87335;9628;21090;17997;866506;653067;6141;23067;31667;79099;133693;91033;97781;190586;36.6;45.7;17.7;4.9;15.9;5.6;2;39.9;6.7;2.6;323526
6;Mayotte;N/A;N/A;N/A;N/A;N/A;8661;2035;270372;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;60.2;35.5;4.3;0.9;37.3;2.8;2.8;62.1;N/A;N/A;N/A
11;Île-de-France;1468576;1077200;556888;1881183;157037;55227;668823;12213364;9740713;5966;307767;1723642;1570447;1632374;850466;1914611;1735440;32;47.7;20.2;6.8;14.2;6.2;1.6;33.3;4;2.3;5141444
24;Centre-Val de Loire;288905;338740;94658;409734;19990;27274;70355;2566759;2116676;20974;68050;146363;291227;345173;300186;654243;290460;28.3;42.5;29.2;10.7;10.1;10.5;1.9;37.3;3.5;2.2;1152027
27;Bourgogne-Franche-Comté;307427;370732;105209;477824;23760;26218;73942;2795301;2330840;29312;77698;145648;305878;359571;352841;725070;334823;27.7;42.4;29.9;10.8;9.6;10.8;2;38.5;3.9;2.1;1285025
28;Normandie;384505;421219;128514;514571;26989;27465;91740;3319067;2726599;27618;87576;171430;365303;445720;404605;811928;412418;29.2;42.7;28.2;9.9;10.3;10.4;2.2;39.1;3.4;2.2;1475918
32;Hauts-de-France;735372;654502;263478;814075;51343;26095;156922;5978266;4824999;26389;127807;328313;650725;802140;722150;1221681;945795;31.7;44.1;24.2;7.9;11.3;9.5;2.4;43.8;3.4;2.3;2519188
44;Grand Est;647373;680987;222539;858046;48835;27378;152170;5518188;4588789;37298;132285;322318;622031;760705;695515;1245183;773454;28.6;44.5;26.9;9.4;10.1;9.8;1.9;40.7;3.7;2.2;2457718
52;Pays de la Loire;440239;482125;118977;569651;29355;29424;109767;3786545;3024879;38189;101859;226138;428130;475206;458269;885207;411881;30.2;43;26.9;9.7;10.6;9.3;1.8;36.3;2.7;2.2;1639994
53;Bretagne;369661;424299;113373;566044;29941;27838;91910;3329395;2719698;37057;95689;199456;369222;419141;361906;843215;394012;28.6;42.5;28.9;10.4;9.6;10.8;2;40.1;3.6;2.1;1503368
75;Nouvelle-Aquitaine;634213;804331;235240;1007868;61246;27657;163898;5987014;4967285;68031;199714;337310;647711;802212;616450;1579708;716149;26.8;42.6;30.6;11.3;8.9;11;1.9;37.4;3.3;2.1;2742949
76;Occitanie;624653;731117;251333;986048;69717;27449;159115;5892817;4829377;60120;206199;393249;656952;770318;505611;1427379;809550;28;43.1;29;10.7;9.9;10.2;1.8;37;3;2.1;2662784
84;Auvergne-Rhône-Alpes;927344;931833;301444;1261019;80332;31639;250120;8026685;6457689;55010;250246;591608;974966;1025631;820342;1745952;993934;29.9;44.3;25.8;9.3;11.3;8.7;1.6;36.4;3.2;2.2;3502191
93;Provence-Alpes-Côte d'Azur;547570;591554;239458;834685;54793;30864;154879;5059473;4174134;17415;183804;340379;561804;697050;412239;1211383;750059;27.5;43.2;29.3;11.1;11.2;10.1;1.8;36.2;3.3;2.2;2268086
94;Corse;37794;38202;17172;47059;5863;26954;8868;339178;279609;2740;15747;15152;32462;52033;29378;76141;55957;24.8;45.1;30;11.5;8.1;9.5;1.6;34;4.4;2.2;146103
