Country,DeathsRate100e3
Lesotho,1500.0
Lithuania,1460.0
Bulgaria,1450.0
Latvia,1450.0
Ukraine,1440.0
Guinea-Bissau,1390.0
Chad,1380.0
Serbia,1360.0
Russia,1350.0
Afghanistan,1340.0
Central African Republic,1320.0
Belarus,1320.0
Swaziland,1320.0
Somalia,1310.0
Gabon,1300.0
Hungary,1280.0
Estonia,1260.0
Moldova,1260.0
Nigeria,1240.0
Zambia,1220.0
Croatia,1220.0
Romania,1200.0
Niger,1180.0
Germany,1170.0
Mozambique,1160.0
Slovenia,1160.0
Greece,1130.0
Burkina Faso,1120.0
Portugal,1110.0
Georgia,1090.0
Czechia,1050.0
Italy,1040.0
Poland,1040.0
Sierra Leone,1040.0
Denmark,1030.0
Zimbabwe,1019.9999999999999
Isle of Man,1019.9999999999999
Uganda,1019.9999999999999
Bosnia and Herzegovina,1000.0
Finland,1000.0
Slovakia,990.0
Saint Pierre and Miquelon,990.0
Mali,980.0000000000001
Monaco,980.0000000000001
Japan,980.0000000000001
Belgium,969.9999999999999
Montenegro,969.9999999999999
Cameroon,960.0
Botswana,960.0
Austria,960.0
Congo,960.0
Cote d'Ivoire,940.0
Armenia,940.0
UK,940.0
Uruguay,940.0
Sweden,940.0
South Africa,940.0
Malta,940.0
France,930.0000000000001
North Korea,930.0000000000001
Angola,919.9999999999999
Macedonia,919.9999999999999
Spain,910.0
Guernsey,900.0
Guinea,900.0
Netherlands,890.0
Faroe Islands,880.0000000000001
Burundi,880.0000000000001
Trinidad and Tobago,880.0000000000001
Greenland,869.9999999999999
San Marino,869.9999999999999
Canada,869.9999999999999
Cuba,869.9999999999999
Bermuda,860.0
Puerto Rico,860.0
Barbados,860.0
Gibraltar,850.0
Tuvalu,850.0
Cook Islands,840.0
Curacao,840.0
Aruba,840.0
Switzerland,830.0000000000001
Grenada,819.9999999999999
USA,819.9999999999999
Palau,810.0
Norway,810.0
Kazakhstan,810.0
Western Sahara,810.0
Senegal,810.0
Thailand,800.0
Benin,790.0
Dominica,790.0
Malawi,790.0
Mauritania,790.0
Namibia,790.0
Equatorial Guinea,780.0
Jersey,780.0
Virgin Islands,780.0
"Saint Helena, Ascension, and Tristan da Cunha",780.0
China,780.0
Ethiopia,770.0
Saint Lucia,770.0
South Sudan,770.0
Liberia,760.0
Haiti,760.0
Tanzania,760.0
Djibouti,750.0
Cambodia,750.0
Argentina,750.0
New Zealand,750.0
Guyana,740.0
Taiwan,740.0
Burma,740.0
Laos,740.0
Liechtenstein,740.0
Hong Kong,740.0
India,730.0
Australia,730.0
Andorra,730.0
Saint Vincent and the Grenadines,730.0
Sudan,730.0
Luxembourg,730.0
Comoros,720.0
The Bahamas,720.0
Eritrea,720.0
Mauritius,710.0
Azerbaijan,710.0
Saint Kitts and Nevis,710.0
Kiribati,700.0
Ghana,700.0
Seychelles,700.0
The Gambia,700.0
Togo,690.0
Jamaica,680.0
Albania,680.0
Cyprus,680.0
Sao Tome and Principe,680.0
Brazil,670.0
Kenya,670.0
Papua New Guinea,660.0
Ireland,660.0
Kyrgyzstan,650.0
Bhutan,650.0
Indonesia,650.0
Madagascar,650.0
Bolivia,640.0
Iceland,640.0
Rwanda,640.0
Pakistan,630.0
Tunisia,630.0
Mongolia,630.0
Sri Lanka,620.0
Montserrat,620.0
Chile,620.0
Philippines,610.0
Peru,610.0
Suriname,610.0
Fiji,610.0
Turkmenistan,610.0
Tajikistan,600.0
Guam,600.0
Cabo Verde,600.0
Belize,600.0
Turkey,600.0
Yemen,600.0
South Korea,600.0
American Samoa,590.0
Nauru,590.0
Vietnam,590.0
Timor-Leste,590.0
Cayman Islands,580.0
El Salvador,580.0
New Caledonia,570.0
Antigua and Barbuda,570.0
Nepal,560.0
Colombia,550.0
Bangladesh,540.0
Wallis and Futuna,540.0
Samoa,530.0
Uzbekistan,530.0
Mexico,530.0
Iran,530.0
Honduras,530.0
Venezuela,530.0
French Polynesia,520.0
Israel,520.0
Sint Maarten,520.0
Nicaragua,509.99999999999994
British Virgin Islands,509.99999999999994
Ecuador,509.99999999999994
Malaysia,509.99999999999994
Lebanon,500.0
Falkland Islands (Islas Malvinas),490.00000000000006
Morocco,490.00000000000006
Tonga,490.00000000000006
Panama,490.00000000000006
Paraguay,480.0
Northern Mariana Islands,480.0
Guatemala,470.0
Costa Rica,470.0
Dominican Republic,470.0
Egypt,459.99999999999994
Anguilla,459.99999999999994
Macau,450.0
Algeria,430.0
"Micronesia, Federated States of",420.0
Marshall Islands,420.0
Maldives,400.0
Vanuatu,400.0
Syria,400.0
Iraq,380.0
Solomon Islands,380.0
Brunei,360.0
Libya,360.0
West Bank,350.0
Singapore,350.0
Jordan,340.0
Saudi Arabia,340.0
Oman,330.0
Turks and Caicos Islands,320.0
Gaza Strip,310.0
Bahrain,280.0
Kuwait,220.00000000000003
United Arab Emirates,190.0
Qatar,150.0
