Country,Hospital beds (per 10 000 population),HospitalBedsPer100000,acuteBeds/100000,icuBeds/100000
Afghanistan,5.0,50.0,,
Albania,29.0,290.0,,
Algeria,19.0,190.0,,
Andorra,,,224.0,7.1
Angola,8.0,80.0,,
Antigua and Barbuda,38.0,380.0,,
Argentina,50.0,500.0,,
Armenia,42.0,420.0,,
Australia,38.0,380.0,,8.0
Austria,76.0,760.0,635.0,21.8
Azerbaijan,47.0,470.0,,
Bahamas,29.0,290.0,,
Bahrain,20.0,200.0,,
Bangladesh,8.0,80.0,20.7,0.7
Barbados,58.0,580.0,,
Belarus,110.0,1100.0,,
Belgium,62.0,620.0,456.0,15.9
Belize,13.0,130.0,,
Benin,5.0,50.0,,
Bhutan,17.0,170.0,,
Bolivia (Plurinational State of),11.0,110.0,,
Bosnia and Herzegovina,35.0,350.0,,
Botswana,18.0,180.0,,
Brazil,22.0,220.0,,
Brunei,27.0,270.0,278.2,13.1
Bulgaria,68.0,680.0,766.0,12.2
Burkina Faso,4.0,40.0,,
Burundi,8.0,80.0,,
Cabo Verde,21.0,210.0,,
Cambodia,8.0,80.0,,
Cameroon,13.0,130.0,,
Canada,27.0,270.0,,13.5
Central African Republic,10.0,100.0,,
Chad,4.0,40.0,,
Chile,22.0,220.0,,
China,42.0,420.0,398.4,3.6
Colombia,15.0,150.0,,
Comoros,22.0,220.0,,
Congo,16.0,160.0,,
Congo,8.0,80.0,,
Cook Islands,63.0,630.0,,
Costa Rica,12.0,120.0,,
Croatia,56.0,560.0,353.0,14.7
Cuba,52.0,520.0,,
Cyprus,34.0,340.0,350.0,11.4
Czech Republic,65.0,650.0,865.0,11.6
Côte d'Ivoire,4.0,40.0,,
Denmark,25.0,250.0,308.0,6.7
Djibouti,14.0,140.0,,
Dominican Republic,16.0,160.0,,
Ecuador,15.0,150.0,,
Egypt,16.0,160.0,,
El Salvador,13.0,130.0,,
Equatorial Guinea,21.0,210.0,,
Eritrea,7.0,70.0,,
Estonia,50.0,500.0,380.0,14.6
Eswatini,21.0,210.0,,
Ethiopia,3.0,30.0,,
Fiji,23.0,230.0,,
Finland,44.0,440.0,231.0,6.1
France,65.0,650.0,358.0,11.6
Gabon,13.0,130.0,,
Gambia,11.0,110.0,,
Georgia,26.0,260.0,,
Germany,83.0,830.0,575.0,29.2
Ghana,9.0,90.0,,
Greece,43.0,430.0,392.0,6.0
Grenada,37.0,370.0,,
Guatemala,6.0,60.0,,
Guinea,3.0,30.0,,
Guinea-Bissau,10.0,100.0,,
Guyana,16.0,160.0,,
Haiti,7.0,70.0,,
Honduras,7.0,70.0,,
Hong Kong,,,263.2,7.1
Hungary,70.0,700.0,416.0,13.8
Iceland,32.0,320.0,367.0,9.1
India,7.0,70.0,63.2,2.3
Indonesia,12.0,120.0,118.4,2.7
Iran,15.0,150.0,159.3,4.6
Iraq,14.0,140.0,,
Ireland,28.0,280.0,272.0,6.5
Israel,31.0,310.0,,
Italy,34.0,340.0,333.0,12.5
Jamaica,17.0,170.0,,
Japan,134.0,1340.0,562.1,7.3
Jordan,14.0,140.0,,
Kazakhstan,67.0,670.0,545.5,21.3
Kenya,14.0,140.0,,
Kiribati,19.0,190.0,,
Kuwait,20.0,200.0,,
Kyrgyzstan,45.0,450.0,,
Laos,15.0,150.0,,2.1
Latvia,58.0,580.0,531.0,9.7
Lebanon,29.0,290.0,,
Lesotho,13.0,130.0,,
Liberia,8.0,80.0,,
Libya,37.0,370.0,,
Lithuania,73.0,730.0,526.0,15.5
Luxembourg,48.0,480.0,204.0,24.8
Madagascar,2.0,20.0,,
Malawi,13.0,130.0,,
Malaysia,19.0,190.0,198.7,3.4
Maldives,43.0,430.0,,
Mali,1.0,10.0,,
Malta,47.0,470.0,,
Mauritania,4.0,40.0,,
Mauritius,34.0,340.0,,
Mexico,15.0,150.0,,
