date,granularite,maille_code,maille_nom,cas_confirmes,deces,reanimation,hospitalises,gueris,source_nom,source_url,source_type
2020-01-24,pays,FRA,France,3,0,,3,,Ministère des Solidarités et de la Santé,https://solidarites-sante.gouv.fr/IMG/pdf/200124-cp_coronavirus.pdf,ministere-sante
2020-01-24,region,REG-11,Ile-de-France,2,,,2,,Ministère des Solidarités et de la Santé,https://solidarites-sante.gouv.fr/IMG/pdf/200124-cp_coronavirus.pdf,ministere-sante
2020-01-24,region,REG-75,Nouvelle-Aquitaine,1,,,1,,Ministère des Solidarités et de la Santé,https://solidarites-sante.gouv.fr/IMG/pdf/200124-cp_coronavirus.pdf,ministere-sante
2020-01-27,pays,FRA,France,3,0,0,3,0,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7r5qpd,ministere-sante
2020-01-28,pays,FRA,France,4,0,1,4,0,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7r7hna,ministere-sante
2020-01-29,pays,FRA,France,5,0,2,5,0,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7r93j5,ministere-sante
2020-01-30,pays,FRA,France,6,0,2,6,0,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7rapbe,ministere-sante
2020-01-31,pays,FRA,France,6,0,2,6,0,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7rc6k1,ministere-sante
2020-02-02,pays,FRA,France,6,0,1,6,0,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7reub3,ministere-sante
2020-02-03,pays,FRA,France,6,0,1,6,0,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7rg9dz,ministere-sante
2020-02-04,pays,FRA,France,6,0,1,6,0,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7rhwp3,ministere-sante
2020-02-05,pays,FRA,France,6,0,1,6,0,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7rjaok,ministere-sante
2020-02-07,pays,FRA,France,6,0,1,6,0,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7rm8cj,ministere-sante
2020-02-08,departement,DEP-74,Haute-Savoie,5,0,,5,,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7rmoy6,ministere-sante
2020-02-08,pays,FRA,France,11,0,1,11,0,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7rmoy6,ministere-sante
2020-02-08,region,REG-84,Auvergne Rhône-Alpes,5,0,,5,,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7rmoy6,ministere-sante
2020-02-09,pays,FRA,France,11,0,1,11,0,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7rnsoh,ministere-sante
2020-02-10,pays,FRA,France,11,0,1,11,0,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7roqav,ministere-sante
2020-02-12,pays,FRA,France,11,0,1,9,2,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7rqmkg,ministere-sante
2020-02-13,pays,FRA,France,11,0,1,8,3,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7rrptk,ministere-sante
2020-02-15,pays,FRA,France,12,1,,7,4,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7rtvys,ministere-sante
2020-02-17,pays,FRA,France,12,1,,,,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7rxi3p,ministere-sante
2020-02-19,pays,FRA,France,12,1,,4,7,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7rzpgd,ministere-sante
2020-02-21,pays,FRA,France,12,1,,1,10,Ministère des Solidarités et de la Santé,https://www.dailymotion.com/video/x7s2l4u,ministere-sante
