Lesotho;15.00
Lithuania;14.60
Bulgaria;14.50
Latvia;14.50
Ukraine;14.40
Guinea-Bissau;13.90
Chad;13.80
Serbia;13.60
Russia;13.50
Afghanistan;13.40
Central African Republic;13.20
Belarus;13.20
Swaziland;13.20
Somalia;13.10
Gabon;13.00
Hungary;12.80
Estonia;12.60
Moldova;12.60
Nigeria;12.40
Zambia;12.20
Croatia;12.20
Romania;12.00
Niger;11.80
Germany;11.70
Mozambique;11.60
Slovenia;11.60
Greece;11.30
Burkina Faso;11.20
Portugal;11.10
Georgia;10.90
Czechia;10.50
Italy;10.40
Poland;10.40
Sierra Leone;10.40
Denmark;10.30
Zimbabwe;10.20
Isle of Man;10.20
Uganda;10.20
Bosnia and Herzegovina;10.00
Finland;10.00
Slovakia;9.90
Saint Pierre and Miquelon;9.90
Mali;9.80
Monaco;9.80
Japan;9.80
Belgium;9.70
Montenegro;9.70
Cameroon;9.60
Botswana;9.60
Austria;9.60
Congo;9.60
Cote d'Ivoire;9.40
Armenia;9.40
UK;9.40
Uruguay;9.40
Sweden;9.40
South Africa;9.40
Malta;9.40
France;9.30
North Korea;9.30
Angola;9.20
Macedonia;9.20
Spain;9.10
Guernsey;9.00
Guinea;9.00
Netherlands;8.90
Faroe Islands;8.80
Burundi;8.80
Trinidad and Tobago;8.80
Greenland;8.70
San Marino;8.70
Canada;8.70
Cuba;8.70
Bermuda;8.60
Puerto Rico;8.60
Barbados;8.60
Gibraltar;8.50
Tuvalu;8.50
Cook Islands;8.40
Curacao;8.40
Aruba;8.40
Switzerland;8.30
Grenada;8.20
USA;8.20
Palau;8.10
Norway;8.10
Kazakhstan;8.10
Western Sahara;8.10
Senegal;8.10
Thailand;8.00
Benin;7.90
Dominica;7.90
Malawi;7.90
Mauritania;7.90
Namibia;7.90
Equatorial Guinea;7.80
Jersey;7.80
Virgin Islands;7.80
Saint Helena, Ascension, and Tristan da Cunha;7.80
China;7.80
Ethiopia;7.70
Saint Lucia;7.70
South Sudan;7.70
Liberia;7.60
Haiti;7.60
Tanzania;7.60
Djibouti;7.50
Cambodia;7.50
Argentina;7.50
New Zealand;7.50
Guyana;7.40
Taiwan;7.40
Burma;7.40
Laos;7.40
Liechtenstein;7.40
Hong Kong;7.40
India;7.30
Australia;7.30
Andorra;7.30
Saint Vincent and the Grenadines;7.30
Sudan;7.30
Luxembourg;7.30
Comoros;7.20
The Bahamas;7.20
Eritrea;7.20
Mauritius;7.10
Azerbaijan;7.10
Saint Kitts and Nevis;7.10
Kiribati;7.00
Ghana;7.00
Seychelles;7.00
The Gambia;7.00
Togo;6.90
Jamaica;6.80
Albania;6.80
Cyprus;6.80
Sao Tome and Principe;6.80
Brazil;6.70
Kenya;6.70
Papua New Guinea;6.60
Ireland;6.60
Kyrgyzstan;6.50
Bhutan;6.50
Indonesia;6.50
Madagascar;6.50
Bolivia;6.40
Iceland;6.40
Rwanda;6.40
Pakistan;6.30
Tunisia;6.30
Mongolia;6.30
Sri Lanka;6.20
Montserrat;6.20
Chile;6.20
Philippines;6.10
Peru;6.10
Suriname;6.10
Fiji;6.10
Turkmenistan;6.10
Tajikistan;6.00
Guam;6.00
Cabo Verde;6.00
Belize;6.00
Turkey;6.00
Yemen;6.00
South Korea;6.00
American Samoa;5.90
Nauru;5.90
Vietnam;5.90
Timor-Leste;5.90
Cayman Islands;5.80
El Salvador;5.80
New Caledonia;5.70
Antigua and Barbuda;5.70
Nepal;5.60
Colombia;5.50
Bangladesh;5.40
Wallis and Futuna;5.40
Samoa;5.30
Uzbekistan;5.30
Mexico;5.30
Iran;5.30
Honduras;5.30
Venezuela;5.30
French Polynesia;5.20
Israel;5.20
Sint Maarten;5.20
Nicaragua;5.10
British Virgin Islands;5.10
Ecuador;5.10
Malaysia;5.10
Lebanon;5.00
Falkland Islands (Islas Malvinas);4.90
Morocco;4.90
Tonga;4.90
Panama;4.90
Paraguay;4.80
Northern Mariana Islands;4.80
Guatemala;4.70
Costa Rica;4.70
Dominican Republic;4.70
Egypt;4.60
Anguilla;4.60
Macau;4.50
Algeria;4.30
Micronesia, Federated States of;4.20
Marshall Islands;4.20
Maldives;4.00
Vanuatu;4.00
Syria;4.00
Iraq;3.80
Solomon Islands;3.80
Brunei;3.60
Libya;3.60
West Bank;3.50
Singapore;3.50
Jordan;3.40
Saudi Arabia;3.40
Oman;3.30
Turks and Caicos Islands;3.20
Gaza Strip;3.10
Bahrain;2.80
Kuwait;2.20
United Arab Emirates;1.90
Qatar;1.50
