Country;beds/100000;icu beds/100000;
Andorra;224;7.1;
Austria;635;21.8;
Belgium;456;15.9;
Bulgaria;766;12.2;
Croatia;353;14.7;
Cyprus;350;11.4;
Czech Republic;865;11.6;
Denmark;308;6.7;
Estonia;380;14.6;
Finland;231;6.1;
France;358;11.6;
Germany;575;29.2;
Greece;392;6.0;
Hungary;416;13.8;
Iceland;367;9.1;
Ireland;272;6.5;
Italy;333;12.5;
Latvia;531;9.7;
Lithuania;526;15.5;
Luxembourg;204;24.8;
The Netherlands;337;6.4;
Norway;277;8.0;
Poland;410;6.9;
Portugal;298;4.2;
Romania;507;21.4;
Slovakia;599;9.2;
Slovenia;373;6.4;
Spain;269;9.7;
Sweden;278;5.8;
Switzerland;357;11.0;
UK;237;6.6;
Canada;;13.5;
Australia;;8.0;
South Africa;;8.9;
USA;190;30;
New Zealand;;5.2;
Trinidad and Tobago;;2.1;
