pays,popu,tranches_age,value
Burundi,11890,A,5381
Comoros,872,A,340
Djibouti,987,A,286
Eritrea,3546,A,1459
Ethiopia,114962,A,45890
Kenya,53772,A,20750
Madagascar,27690,A,11094
Malawi,19131,A,8225
Mauritius,1273,A,214
Mayotte,272,A,106
Mozambique,31258,A,13772
Réunion,895,A,201
Rwanda,12952,A,5113
Seychelles,96,A,23
Somalia,15895,A,7335
South Sudan,11191,A,4625
Uganda,45741,A,21048
United Republic of Tanzania,59736,A,26018
Zambia,18385,A,8092
Zimbabwe,14863,A,6229
Angola,32866,A,15248
Cameroon,26545,A,11166
Central African Republic,4829,A,2102
Chad,16426,A,7636
Congo,5517,A,2277
Democratic Republic of the Congo,89562,A,41015
Equatorial Guinea,1404,A,516
Gabon,2225,A,829
Sao Tome and Principe,220,A,92
Botswana,2352,A,786
Eswatini,1162,A,435
Lesotho,2144,A,691
Namibia,2539,A,936
South Africa,59307,A,17082
Benin,12123,A,5085
Burkina Faso,20904,A,9275
Cabo Verde,557,A,156
Côte d'Ivoire,26378,A,10949
Gambia,2417,A,1063
Ghana,31070,A,11537
Guinea,13132,A,5654
Guinea-Bissau,1968,A,825
Liberia,5057,A,2041
Mali,20251,A,9520
Mauritania,4650,A,1845
Niger,24207,A,12024
Nigeria,206142,A,89646
Senegal,16744,A,7131
Sierra Leone,7975,A,3218
Togo,8280,A,3364
Algeria,43852,A,13499
Egypt,102334,A,34712
Libya,6871,A,1909
Morocco,36911,A,9881
Sudan,43849,A,17452
Tunisia,11819,A,2871
Western Sahara,598,A,162
Armenia,2959,A,617
Azerbaijan,10139,A,2384
Bahrain,1700,A,311
Cyprus,1206,A,201
Georgia,3988,A,806
Iraq,40224,A,15169
Israel,8658,A,2409
Jordan,10201,A,3352
Kuwait,4270,A,917
Lebanon,6823,A,1711
Oman,5108,A,1149
Qatar,2881,A,392
Saudi Arabia,34814,A,8597
State of Palestine,5099,A,1957
Syrian Arab Republic,17500,A,5386
Turkey,84337,A,20192
United Arab Emirates,9892,A,1465
Yemen,29825,A,11582
Kazakhstan,18779,A,5472
Kyrgyzstan,6525,A,2130
Tajikistan,9538,A,3555
Turkmenistan,6033,A,1857
Uzbekistan,33468,A,9639
Afghanistan,38927,A,16281
Bangladesh,164688,A,44061
Bhutan,771,A,192
India,1380004,A,361018
Iran (Islamic Republic of),83994,A,20784
Maldives,541,A,106
Nepal,29137,A,8394
Pakistan,220893,A,76914
Sri Lanka,21414,A,5072
China,1439323,A,254930
"China, Hong Kong SAR",7499,A,951
"China, Macao SAR",649,A,93
"China, Taiwan Province of China",23817,A,3029
Dem. People's Republic of Korea,25778,A,5115
Japan,126477,A,15744
Mongolia,3279,A,1019
Republic of Korea,51269,A,6431
Brunei Darussalam,435,A,98
Cambodia,16719,A,5171
Indonesia,273523,A,70941
Lao People's Democratic Republic,7278,A,2325
Malaysia,32367,A,7589
Myanmar,54410,A,13867
Philippines,109581,A,32921
Singapore,5851,A,720
Thailand,69801,A,11554
Timor-Leste,1318,A,486
