Country,Date,testsPer100000
Armenia,2020-03-18,27.669999999999998
Australia,2020-03-23,550.0
Austria,2020-03-20,177.78
Bahrain,2020-03-30,2090.0
Belarus,2020-03-16,169.93
Belgium,2020-03-18,160.0
Brazil,2020-03-13,1.3699999999999999
Canada,2020-03-29,570.0
Colombia,2020-03-20,8.17
Costa Rica,2020-03-19,20.6
Croatia,2020-03-19,30.71
Czech Republic,2020-03-20,109.27000000000001
Denmark,2020-03-20,185.1
Estonia,2020-03-20,192.53
Faeroe Islands,2020-03-20,3329.28
Finland,2020-03-19,53.760000000000005
France,2020-03-24,150.0
Germany,2020-03-15,800.0
Hong Kong,2020-03-05,69.84
Hungary,2020-03-20,31.25
Iceland,2020-03-30,4560.0
India,2020-03-20,1.05
Indonesia,2020-03-20,0.74
Iran,2020-03-14,100.0
Ireland,2020-03-17,135.02
Israel,2020-03-18,124.67999999999999
Italy,2020-03-29,750.0
Japan,2020-03-19,11.78
Kuwait,2020-03-17,0.0
Kyrgyzstan,2020-03-13,24.52
Latvia,2020-03-20,169.31
Lithuania,2020-03-20,40.46
Malaysia,2020-03-20,42.22
Malta,2020-03-13,204.67000000000002
Mexico,2020-03-10,0.21000000000000002
Netherlands,2020-03-07,34.92
New Zealand,2020-03-17,12.08
Norway,2020-03-30,1640.0
Pakistan,2020-03-19,0.95
Palestine,2020-03-16,47.33
Panama,2020-03-18,33.92
Philippines,2020-03-20,1.16
Poland,2020-03-30,120.0
Qatar,2020-03-30,720.0
Romania,2020-03-20,42.730000000000004
Russia,2020-03-19,99.81
Slovakia,2020-03-20,49.660000000000004
Slovenia,2020-03-19,473.57
South Africa,2020-03-20,10.959999999999999
South Korea,2020-03-30,770.0
Spain,2020-03-18,64.57000000000001
Sweden,2020-03-17,141.28
Switzerland,2020-03-07,46.13
Taiwan,2020-03-20,89.89
Thailand,2020-03-17,10.209999999999999
Turkey,2020-03-10,3.46
UK,2020-03-30,200.0
USA,2020-03-30,260.0
Ukraine,2020-03-20,0.73
United Arab Emirates,2020-03-30,2280.0
United Kingdom,2020-03-19,95.97
United States,2020-03-19,31.360000000000003
Vietnam,2020-03-20,15.9
feroe island,2020-03-30,7890.0
